R2 Bucket: green-bond-storage
Prefix: prospektus/
Generated: 2026-03-11

| #   | Folder                                                                           | Files | Size (MB) |
| 150 | 20241129_MDKA_Penyampaian Bukti Iklan Penyampaian Bukti Iklan Pengumuman P       |     2 |      3.57 |
| 151 | 20241130_BTPN_Penyampaian Prospektus                                             |     1 |      0.53 |
| 152 | 20241204_BJBR_Penyampaian Bukti Iklan Prospektus Ringkas dalam rangka Pena       |     6 |      0.68 |
| 153 | 20241204_BJBR_Penyampaian Prospektus                                             |     6 |     28.08 |
| 154 | 20241204_MEDC_Penyampaian Prospektus                                             |     2 |      1.92 |
| 155 | 20241209_PTRO_Penyampaian Prospektus                                             |     2 |      2.23 |
| 156 | 20241212_BCAP_Penyampaian Bukti Iklan Prospektus Ringkas - Penawaran Umum        |     2 |      1.19 |
| 157 | 20241212_FMFN_Informasi Tambahan dan_atau Perbaikan atas Prospektus Ringka       |     3 |      1.93 |
| 158 | 20241212_PIDL_Penyampaian Bukti Iklan Prospektus Ringkas Penawaran Umum Be       |     2 |      0.88 |
| 159 | 20241216_GMFI_Penyampaian Prospektus                                             |     2 |      0.65 |
| 160 | 20241218_MDKA_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      7.96 |
| 161 | 20241220_SMMA_Penyampaian Prospektus                                             |     2 |      0.68 |
| 162 | 20241223_TRIM_Penyampaian Prospektus                                             |     2 |      1.09 |
| 163 | 20241231_PIDL_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |      1.24 |
| 164 | 20250101_SMMA_Penyampaian Prospektus                                             |     1 |      0.43 |
| 165 | 20250101_SMMA_Penyampaian Prospektus (KOREKSI)                                   |     1 |      0.43 |
| 166 | 20250102_BCAP_Penyampaian Bukti Iklan Informasi Tambahan dan_atau Perbaika       |     2 |     19.79 |
| 167 | 20250106_IATA_Prospektus Ringkas Penawaran Umum Terbatas III PT MNC Energy       |     1 |      0.58 |
| 168 | 20250107_PALM_Penyampaian Prospektus                                             |     2 |      0.99 |
| 169 | 20250111_BBKP_Penyampaian Prospektus                                             |     2 |      1.39 |
| 170 | 20250111_PNBN_Penyampaian Prospektus                                             |     2 |      0.74 |
| 171 | 20250112_CNAF_Penyampaian Prospektus                                             |     2 |      1.09 |
| 172 | 20250113_BTPN_Penyampaian Prospektus                                             |     4 |      1.67 |
| 173 | 20250113_SMMA_Penyampaian Prospektus                                             |     2 |      0.72 |
| 174 | 20250113_XPDV_Penyampaian Prospektus_Perubahan Prospektus                        |     1 |      0.31 |
| 175 | 20250113_XPFT_Penyampaian Prospektus_Perubahan Prospektus                        |     1 |      0.31 |
| 176 | 20250113_XPLQ_Penyampaian Prospektus_Perubahan Prospektus(KOREKSI)               |     1 |      0.31 |
| 177 | 20250113_XPSG_Penyampaian Prospektus_Perubahan Prospektus                        |     1 |      0.31 |
| 178 | 20250115_PPGD_Penyampaian Prospektus                                             |     2 |      1.03 |
| 179 | 20250116_MEDP_Penyampaian Prospektus                                             |     1 |      1.38 |
| 180 | 20250120_JSMR_Penyampaian Prospektus                                             |     2 |      0.81 |
| 181 | 20250121_BSDE_Penyampaian Bukti Iklan Prospektus Ringkas PT Bumi Serpong D       |     2 |      7.63 |
| 182 | 20250121_HRTA_Penyampaian Bukti Iklan Bukti Iklan atas Perubahan dan_atau        |     2 |      0.50 |
| 183 | 20250121_PALM_Penyampaian Prospektus                                             |     2 |      0.47 |
| 184 | 20250122_TBIG_Penyampaian Prospektus                                             |     2 |      0.65 |
| 185 | 20250124_ADMF_Penyampaian Prospektus                                             |     3 |      1.06 |
| 186 | 20250126_PNBN_Penyampaian Prospektus                                             |     2 |      0.71 |
| 187 | 20250127_BBKP_Penyampaian Prospektus                                             |     2 |      1.77 |
| 188 | 20250127_FIFA_Penyampaian Prospektus                                             |     2 |      0.63 |
| 189 | 20250127_PPGD_Penyampaian Prospektus                                             |     2 |      1.08 |
| 190 | 20250128_BBKP_Penyampaian Prospektus                                             |     2 |      0.48 |
| 191 | 20250203_MEDP_Penyampaian Prospektus                                             |     4 |      1.18 |
| 192 | 20250204_MEDP_Penyampaian Prospektus                                             |     3 |      0.43 |
| 193 | 20250206_XBES_Penyampaian Prospektus_Perubahan Prospektus                        |     1 |      7.35 |
