Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
858,BMRI01BSLCN1,Obligasi Keberlanjutan Berkelanjutan I Bank Mandiri Tahap I Tahun 2025 Seri B,BMRI,2028-12-19T07:00:00,idAAA,2000000000000.0
872,SMPNMP07X6V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap VI,PNMP,2027-02-23T07:00:00,idAAA(sy),800000000000.0
877,TPR-BBNI01XXJP,LTN Yang Dilakukan Tanpa Melalui Penawaran Umum PT Bank Negara Indonesia (Persero) Tbk I Tahun 2024,BBNI,2037-11-07T07:00:00,,14036333250.0
884,SMFP07BCN8,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap VIII Tahun 2025 Seri B,SMFP,2028-02-14T07:00:00,idAAA,251255000000.0
907,BMRI01BGNCN2,Obligasi Berwawasan Lingkungan Berkelanjutan I Bank Mandiri Tahap II Tahun 2025 Seri B,BMRI,2028-03-25T07:00:00,idAAA,4500000000000.0
911,PPGD06BCN2,Obligasi Berkelanjutan VI Pegadaian Tahap II Tahun 2025 Seri B,PPGD,2028-05-28T07:00:00,idAAA,2309205000000.0
913,PPGD01BSOCN2,Obligasi Berwawasan Sosial Berkelanjutan I Pegadaian Tahap II Tahun 2025 Seri B,PPGD,2028-05-28T07:00:00,idAAA,985590000000.0
917,SMPPGD03BCN4,Sukuk Mudharabah Berkelanjutan III Pegadaian Tahap IV Tahun 2025 Seri B,PPGD,2028-05-28T07:00:00,idAAA(sy),234720000000.0
929,SMPNMP01CSECN2,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap II Tahun 2025 Seri C,PNMP,2030-10-17T07:00:00,idAAA(sy),110000000000.0
930,SMPNMP01ASECN2,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap II Tahun 2025 Seri A,PNMP,2026-10-27T07:00:00,idAAA(sy),800000000000.0
931,SMPNMP01BSECN2,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap II Tahun 2025 Seri B,PNMP,2028-10-17T07:00:00,idAAA(sy),110000000000.0
947,IIFF02BCN3,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap III Tahun 2025 Seri B,IIFF,2028-11-05T07:00:00,idAAA,625000000000.0
948,IIFF02CCN3,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap III Tahun 2025 Seri C,IIFF,2030-11-05T07:00:00,idAAA,100000000000.0
949,IIFF02ACN3,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap III Tahun 2025 Seri A,IIFF,2026-11-15T07:00:00,idAAA,500000000000.0
950,IIFF02DCN3,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap III Tahun 2025 Seri D,IIFF,2035-11-05T07:00:00,idAAA,275000000000.0
959,SMPPGD01BSOCN3,Sukuk Mudharabah Berwawasan Sosial Berkelanjutan I Pegadaian Tahap III Tahun 2025 Seri B,PPGD,2028-11-13T07:00:00,idAAA(sy),253205000000.0
960,PPGD06ACN4,Obligasi Berkelanjutan VI Pegadaian Tahap IV Tahun 2025 Seri A,PPGD,2026-11-23T07:00:00,idAAA,2700000000000.0
961,SMPPGD01ASOCN3,Sukuk Mudharabah Berwawasan Sosial Berkelanjutan I Pegadaian Tahap III Tahun 2025 Seri A,PPGD,2026-11-23T07:00:00,idAAA(sy),1300000000000.0
962,PPGD06BCN4,Obligasi Berkelanjutan VI Pegadaian Tahap IV Tahun 2025 Seri B,PPGD,2028-11-13T07:00:00,idAAA,521435000000.0
965,SMPNMP07X5V,Sukuk Mudharabah Jangka Menengah VII PT Permodalan Nasional Madani Tahun 2025 Tahap V,PNMP,2028-11-25T07:00:00,idAAA(sy),650000000000.0
970,SMII04ACN4,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap IV Tahun 2025 Seri A,SMII,2026-12-07T07:00:00,idAAA,800000000000.0
971,SMII04BCN4,Obligasi Berkelanjutan IV Sarana Multi Infrastruktur Tahap IV Tahun 2025 Seri B,SMII,2028-11-27T07:00:00,idAAA,1700000000000.0
982,POLI01ASL,Obligasi Terkait Keberlanjutan I Pollux Hotels Group Tahun 2025 Seri A,POLI,2028-12-10T07:00:00,idAAA(cg),55000000000.0
986,POLI01BSL,Obligasi Terkait Keberlanjutan I Pollux Hotels Group Tahun 2025 Seri B,POLI,2030-12-10T07:00:00,idAAA(cg),445000000000.0
999,BMRI01ASLCN1,Obligasi Keberlanjutan Berkelanjutan I Bank Mandiri Tahap I Tahun 2025 Seri A,BMRI,2026-12-29T07:00:00,idAAA,1000000000000.0
1002,BMRI01CSLCN1,Obligasi Keberlanjutan Berkelanjutan I Bank Mandiri Tahap I Tahun 2025 Seri C,BMRI,2030-12-19T07:00:00,idAAA,2000000000000.0
1007,TPR-BBRI05XXJP,LTN Yang Dilakukan Tanpa Melalui Penawaran Umum PT Bank Rakyat Indonesia (Persero) Tbk V Tahun 2025,BBRI,2039-03-06T07:00:00,,33809212500.0
