IssuerCode,n_bonds,total_outstanding_triliun,priority_tier,batch,green_name_hint,social_name_hint,sample_bond_names
MSTJ-M,3,0.15,3,9,,,Medium Term Notes II PT Multi Sandang Tamajaya Tahun 2024 Ta | Medium Term Notes II PT Multi Sandang Tamajaya Tahun 2024 Ta
SMPN-M,3,0.11,3,9,,,MTN II PT Sawitmas Parenggean Tahun 2024 Tahap I | MTN II PT Sawitmas Parenggean Tahun 2024 Tahap II
PPRE,1,0.101,3,9,,,Obligasi Berkelanjutan I PP Presisi Tahap I Tahun 2022 Seri 
WOOD,2,0.078,3,9,,,Sukuk Mudharabah Berkelanjutan I Integra Indocabinet Tahap I | Obligasi Berkelanjutan I Integra Indocabinet Tahap II Tahun 
SPPR-M,1,0.07,3,9,,,MTN I PT Sinergi Properti Pratama Tahun 2025 Tahap 1
HEAL,1,0.063,3,9,,,Obligasi Berkelanjutan I Medikaloka Hermina Tahap II Tahun 2
PIGN,1,0.05,3,9,,,Obligasi I Pelindo I Gerbang Nusantara Tahun 2016 Seri D
MPLC-M,1,0.05,3,9,,,MTN I PT Mitra Prima Lancar Tahun 2025 Tahap I
WMPP-M,1,0.045,3,9,,,MTN PT Widodo Makmur Perkasa Tbk Tahun 2023 Tahap I
INTN-M,2,0.041,3,9,,,MTN Intan I Tahun 2019 Seri A | MTN Intan I Tahun 2019 Seri B
AISA,3,0.037,3,9,,,Sukuk Ijarah TPS Food I Tahun 2013 | Obligasi TPS Food I Tahun 2013
WBSA-M,1,0.03,3,9,,,MTN PT BSA Logistics Indonesia I Tahun 2025
